(base) [01;32mliulei@inspur-NF5468M5[00m:[01;34m/data5/SCI/xieweijie/CASSI[00m$ conda activate zwj
(/data5/SCI/zhangwenjie/zwj) [01;32mliulei@inspur-NF5468M5[00m:[01;34m/data5/SCI/xieweijie/CASSI[00m$ python train.py
训练集路径: dataset/CAVE_1024_npy
strating at: Sat May  2 15:22:07 2026
Loading: scene1.npy
Loading: scene2.npy
Loading: scene3.npy
Loading: scene4.npy
Loading: scene5.npy
Loading: scene6.npy
Loading: scene7.npy
Loading: scene8.npy
Loading: scene9.npy
Loading: scene10.npy
Loading: scene11.npy
Loading: scene12.npy
Loading: scene13.npy
Loading: scene14.npy
Loading: scene15.npy
Loading: scene16.npy
Loading: scene17.npy
Loading: scene18.npy
Loading: scene19.npy
Loading: scene20.npy
Loading: scene21.npy
Loading: scene22.npy
Loading: scene23.npy
Loading: scene24.npy
Loading: scene25.npy
Loading: scene26.npy
Loading: scene27.npy
Loading: scene28.npy
Loading: scene29.npy
Loading: scene30.npy
Loading: scene31.npy
Loading: scene32.npy
Loading: scene33.npy
Loading: scene34.npy
Loading: scene35.npy
Loading: scene36.npy
Loading: scene37.npy
Loading: scene38.npy
Loading: scene39.npy
Loading: scene40.npy
Loading: scene41.npy
Loading: scene42.npy
Loading: scene43.npy
Loading: scene44.npy
Loading: scene45.npy
Loading: scene46.npy
Loading: scene47.npy
Loading: scene48.npy
Loading: scene49.npy
Loading: scene50.npy
Loading: scene51.npy
Loading: scene52.npy
Loading: scene53.npy
Loading: scene54.npy
Loading: scene55.npy
Loading: scene56.npy
Loading: scene57.npy
Loading: scene58.npy
Loading: scene59.npy
Loading: scene60.npy
Loading: scene61.npy
Loading: scene62.npy
Loading: scene63.npy
Loading: scene64.npy
Loading: scene65.npy
Loading: scene66.npy
Loading: scene67.npy
Loading: scene68.npy
Loading: scene69.npy
Loading: scene70.npy
Loading: scene71.npy
Loading: scene72.npy
Loading: scene73.npy
Loading: scene74.npy
Loading: scene75.npy
Loading: scene76.npy
Loading: scene77.npy
Loading: scene78.npy
Loading: scene79.npy
Loading: scene80.npy
Loading: scene81.npy
Loading: scene82.npy
Loading: scene83.npy
Loading: scene84.npy
Loading: scene85.npy
Loading: scene86.npy
Loading: scene87.npy
Loading: scene88.npy
Loading: scene89.npy
Loading: scene90.npy
Loading: scene91.npy
Loading: scene92.npy
Loading: scene93.npy
Loading: scene94.npy
Loading: scene95.npy
Loading: scene96.npy
Loading: scene97.npy
Loading: scene98.npy
Loading: scene99.npy
Loading: scene100.npy
Loading: scene101.npy
Loading: scene102.npy
Loading: scene103.npy
Loading: scene104.npy
Loading: scene105.npy
Loading: scene106.npy
Loading: scene107.npy
Loading: scene108.npy
Loading: scene109.npy
Loading: scene110.npy
Loading: scene111.npy
Loading: scene112.npy
Loading: scene113.npy
Loading: scene114.npy
Loading: scene115.npy
Loading: scene116.npy
Loading: scene117.npy
Loading: scene118.npy
Loading: scene119.npy
Loading: scene120.npy
Loading: scene121.npy
Loading: scene122.npy
Loading: scene123.npy
Loading: scene124.npy
Loading: scene125.npy
Loading: scene126.npy
Loading: scene127.npy
Loading: scene128.npy
Loading: scene129.npy
Loading: scene130.npy
Loading: scene131.npy
Loading: scene132.npy
Loading: scene133.npy
Loading: scene134.npy
Loading: scene135.npy
Loading: scene136.npy
Loading: scene137.npy
Loading: scene138.npy
Loading: scene139.npy
Loading: scene140.npy
Loading: scene141.npy
Loading: scene142.npy
Loading: scene143.npy
Loading: scene144.npy
Loading: scene145.npy
Loading: scene146.npy
Loading: scene147.npy
Loading: scene148.npy
Loading: scene149.npy
Loading: scene150.npy
Loading: scene151.npy
Loading: scene152.npy
Loading: scene153.npy
Loading: scene154.npy
Loading: scene155.npy
Loading: scene156.npy
Loading: scene157.npy
Loading: scene158.npy
Loading: scene159.npy
Loading: scene160.npy
Loading: scene161.npy
Loading: scene162.npy
Loading: scene163.npy
Loading: scene164.npy
Loading: scene165.npy
Loading: scene166.npy
Loading: scene167.npy
Loading: scene168.npy
Loading: scene169.npy
Loading: scene170.npy
Loading: scene171.npy
Loading: scene172.npy
Loading: scene173.npy
Loading: scene174.npy
Loading: scene175.npy
Loading: scene176.npy
Loading: scene177.npy
Loading: scene178.npy
Loading: scene179.npy
Loading: scene180.npy
Loading: scene181.npy
Loading: scene182.npy
Loading: scene183.npy
Loading: scene184.npy
Loading: scene185.npy
Loading: scene186.npy
Loading: scene187.npy
Loading: scene188.npy
Loading: scene189.npy
Loading: scene190.npy
Loading: scene191.npy
Loading: scene192.npy
Loading: scene193.npy
Loading: scene194.npy
Loading: scene195.npy
Loading: scene196.npy
Loading: scene197.npy
Loading: scene198.npy
Loading: scene199.npy
Loading: scene200.npy
Loading: scene201.npy
Loading: scene202.npy
Loading: scene203.npy
Loading: scene204.npy
Loading: scene205.npy
训练集加载完成：205 个场景，路径: dataset/CAVE_1024_npy
finished after 21.87 s
模型: WaveMST_3D  参数量: 0.83M
[Epoch 001] Loss: 0.095819  Time: 477.7s  LR: 4.00e-04
         Test → PSNR: 22.01  SSIM: 0.4112
[Epoch 002] Loss: 0.074873  Time: 472.6s  LR: 4.00e-04
         Test → PSNR: 24.88  SSIM: 0.5949
[Epoch 003] Loss: 0.055223  Time: 473.2s  LR: 4.00e-04
         Test → PSNR: 26.40  SSIM: 0.6417
[Epoch 004] Loss: 0.047410  Time: 471.8s  LR: 4.00e-04
         Test → PSNR: 27.22  SSIM: 0.7129
[Epoch 005] Loss: 0.044503  Time: 473.0s  LR: 4.00e-04
         Test → PSNR: 27.85  SSIM: 0.7485
[Epoch 006] Loss: 0.041346  Time: 472.7s  LR: 4.00e-04
         Test → PSNR: 27.93  SSIM: 0.6923
[Epoch 007] Loss: 0.039275  Time: 472.7s  LR: 4.00e-04
         Test → PSNR: 28.44  SSIM: 0.7809
  ★ 新最优: PSNR=28.44  SSIM=0.7809  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 008] Loss: 0.037522  Time: 473.4s  LR: 3.99e-04
         Test → PSNR: 28.55  SSIM: 0.7723
  ★ 新最优: PSNR=28.55  SSIM=0.7723  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 009] Loss: 0.036756  Time: 473.6s  LR: 3.99e-04
         Test → PSNR: 28.97  SSIM: 0.7947
  ★ 新最优: PSNR=28.97  SSIM=0.7947  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 010] Loss: 0.036216  Time: 477.1s  LR: 3.99e-04
         Test → PSNR: 29.12  SSIM: 0.8054
  ★ 新最优: PSNR=29.12  SSIM=0.8054  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 011] Loss: 0.034789  Time: 477.1s  LR: 3.99e-04
         Test → PSNR: 29.45  SSIM: 0.8073
  ★ 新最优: PSNR=29.45  SSIM=0.8073  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 012] Loss: 0.034038  Time: 478.4s  LR: 3.99e-04
         Test → PSNR: 29.65  SSIM: 0.8127
  ★ 新最优: PSNR=29.65  SSIM=0.8127  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 013] Loss: 0.032470  Time: 479.1s  LR: 3.98e-04
         Test → PSNR: 29.84  SSIM: 0.8269
  ★ 新最优: PSNR=29.84  SSIM=0.8269  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 014] Loss: 0.032426  Time: 478.1s  LR: 3.98e-04
         Test → PSNR: 29.95  SSIM: 0.8278
  ★ 新最优: PSNR=29.95  SSIM=0.8278  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 015] Loss: 0.031319  Time: 475.2s  LR: 3.98e-04
         Test → PSNR: 30.07  SSIM: 0.8316
  ★ 新最优: PSNR=30.07  SSIM=0.8316  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 016] Loss: 0.030857  Time: 476.8s  LR: 3.98e-04
         Test → PSNR: 30.15  SSIM: 0.8364
  ★ 新最优: PSNR=30.15  SSIM=0.8364  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 017] Loss: 0.030695  Time: 478.8s  LR: 3.97e-04
         Test → PSNR: 30.14  SSIM: 0.8384
[Epoch 018] Loss: 0.030555  Time: 477.2s  LR: 3.97e-04
         Test → PSNR: 29.99  SSIM: 0.8376
[Epoch 019] Loss: 0.029339  Time: 478.5s  LR: 3.96e-04
         Test → PSNR: 30.47  SSIM: 0.8470
  ★ 新最优: PSNR=30.47  SSIM=0.8470  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 020] Loss: 0.029137  Time: 479.0s  LR: 3.96e-04
         Test → PSNR: 30.44  SSIM: 0.8514
[Epoch 021] Loss: 0.029186  Time: 478.1s  LR: 3.96e-04
         Test → PSNR: 30.49  SSIM: 0.8483
  ★ 新最优: PSNR=30.49  SSIM=0.8483  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 022] Loss: 0.028779  Time: 478.7s  LR: 3.95e-04
         Test → PSNR: 30.66  SSIM: 0.8587
  ★ 新最优: PSNR=30.66  SSIM=0.8587  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 023] Loss: 0.028232  Time: 478.4s  LR: 3.95e-04
         Test → PSNR: 30.39  SSIM: 0.8556
[Epoch 024] Loss: 0.027990  Time: 479.1s  LR: 3.94e-04
         Test → PSNR: 30.92  SSIM: 0.8635
  ★ 新最优: PSNR=30.92  SSIM=0.8635  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 025] Loss: 0.027694  Time: 478.2s  LR: 3.94e-04
         Test → PSNR: 30.63  SSIM: 0.8597
[Epoch 026] Loss: 0.027559  Time: 479.0s  LR: 3.93e-04
         Test → PSNR: 30.95  SSIM: 0.8611
  ★ 新最优: PSNR=30.95  SSIM=0.8611  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 027] Loss: 0.026745  Time: 479.1s  LR: 3.93e-04
         Test → PSNR: 31.00  SSIM: 0.8663
  ★ 新最优: PSNR=31.00  SSIM=0.8663  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 028] Loss: 0.027361  Time: 478.2s  LR: 3.92e-04
         Test → PSNR: 30.80  SSIM: 0.8594
[Epoch 029] Loss: 0.027025  Time: 477.9s  LR: 3.91e-04
         Test → PSNR: 30.77  SSIM: 0.8683
[Epoch 030] Loss: 0.026887  Time: 477.5s  LR: 3.91e-04
         Test → PSNR: 31.13  SSIM: 0.8697
  ★ 新最优: PSNR=31.13  SSIM=0.8697  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 031] Loss: 0.026309  Time: 479.7s  LR: 3.90e-04
         Test → PSNR: 31.35  SSIM: 0.8697
  ★ 新最优: PSNR=31.35  SSIM=0.8697  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 032] Loss: 0.026270  Time: 477.8s  LR: 3.90e-04
         Test → PSNR: 31.24  SSIM: 0.8769
[Epoch 033] Loss: 0.026240  Time: 478.0s  LR: 3.89e-04
         Test → PSNR: 31.19  SSIM: 0.8691
[Epoch 034] Loss: 0.025510  Time: 478.6s  LR: 3.88e-04
         Test → PSNR: 31.25  SSIM: 0.8706
[Epoch 035] Loss: 0.025636  Time: 477.2s  LR: 3.87e-04
         Test → PSNR: 31.36  SSIM: 0.8719
  ★ 新最优: PSNR=31.36  SSIM=0.8719  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 036] Loss: 0.025252  Time: 478.6s  LR: 3.87e-04
         Test → PSNR: 31.53  SSIM: 0.8798
  ★ 新最优: PSNR=31.53  SSIM=0.8798  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 037] Loss: 0.025241  Time: 478.1s  LR: 3.86e-04
         Test → PSNR: 31.47  SSIM: 0.8787
[Epoch 038] Loss: 0.025009  Time: 477.5s  LR: 3.85e-04
         Test → PSNR: 31.30  SSIM: 0.8783
[Epoch 039] Loss: 0.024771  Time: 477.7s  LR: 3.84e-04
         Test → PSNR: 31.46  SSIM: 0.8818
[Epoch 040] Loss: 0.024759  Time: 477.3s  LR: 3.84e-04
         Test → PSNR: 31.33  SSIM: 0.8719
[Epoch 041] Loss: 0.024130  Time: 478.4s  LR: 3.83e-04
         Test → PSNR: 31.64  SSIM: 0.8839
  ★ 新最优: PSNR=31.64  SSIM=0.8839  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 042] Loss: 0.024448  Time: 477.5s  LR: 3.82e-04
         Test → PSNR: 31.63  SSIM: 0.8855
[Epoch 043] Loss: 0.024442  Time: 477.0s  LR: 3.81e-04
         Test → PSNR: 31.78  SSIM: 0.8881
  ★ 新最优: PSNR=31.78  SSIM=0.8881  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 044] Loss: 0.023967  Time: 476.6s  LR: 3.80e-04
         Test → PSNR: 31.68  SSIM: 0.8871
[Epoch 045] Loss: 0.024180  Time: 477.6s  LR: 3.79e-04
         Test → PSNR: 31.84  SSIM: 0.8911
  ★ 新最优: PSNR=31.84  SSIM=0.8911  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
[Epoch 046] Loss: 0.023696  Time: 478.8s  LR: 3.78e-04
         Test → PSNR: 31.75  SSIM: 0.8866
[Epoch 047] Loss: 0.023849  Time: 479.5s  LR: 3.77e-04
         Test → PSNR: 31.92  SSIM: 0.8908
  ★ 新最优: PSNR=31.92  SSIM=0.8908  → result/model/2026_05_02_15_22_32_3d_wpo_pure/best.pth
